date,retail_sales,gold_price,gold_price_mom,gold_price_yoy,gold_volatility_1m,gold_volatility_3m,gold_price_30d_avg,gold_price_90d_avg,gold_price_180d_avg,gold_trend,oil_price,oil_price_mom,oil_price_yoy,oil_volatility_1m,oil_volatility_3m,oil_price_30d_avg,oil_price_90d_avg,oil_price_180d_avg,oil_momentum,gdp_growth,inflation,interest_rate,unemployment
2004-11-30,,19824.78,3.016159556524145,11.663297486153867,1332.1920152780335,2423.1756929713297,17138.934333333335,14055.69162,12647.34555772222,4491.588775611113,37.857542738095205,-7.837298059255277,32.45480488010004,5.251186793512504,,30.426786893114173,,,,,,,
2004-12-01,,19638.809999999998,0.5700113608571922,8.298979449380994,1350.5492571336476,2451.3969914802456,17201.1505,14096.642678888888,12682.22737986111,4518.923120138888,36.8162154761904,-5.354023198642022,27.098802960863644,5.251489705403333,,30.639526921884016,,,,,,,
2004-12-31,,19452.84,-1.876136834809761,4.934661412608121,1368.906498989262,2479.618289989161,17263.366666666665,14137.593737777775,12717.109202,4546.257464666664,38.889108988095145,2.9533702449109693,31.820465645199857,5.361600984947437,,30.902506601231842,,,,,,,
2005-01-01,,19006.445,-3.2328233220871807,1.8515200388157402,1352.1814314959956,2497.519932941955,17318.0835,14172.120126666665,12749.660260472221,4568.423239527776,40.9620024999999,11.26076368846396,36.54212832953607,5.47171226449154,,31.165486280579668,,,,,,,
2005-01-31,,18560.05,-4.5895098093646,-1.2316213349766405,1335.456364002729,2515.4215758947494,17372.800333333333,14206.646515555556,12782.211318944444,4590.589014388888,41.8163005555555,7.715968493848546,40.2348618052191,5.617127240497453,,31.445732621067883,,,,,,,
2005-02-01,,18529.315000000002,-2.4603525189128557,-0.1300457439787519,1306.3828762796395,2531.980886659005,17429.869,14240.252882222223,12814.062578805555,4615.806421194445,42.6705986111111,4.171173299233133,43.92759528090213,5.762542216503366,,31.7259789615561,,,,,,,
2005-02-28,,18498.58,-0.3311952284611119,0.9715298470191368,1277.30938855655,2548.540197423261,17486.93766666667,14273.859248888888,12845.913838666667,4641.023828000001,45.97030953282825,9.818571489575966,48.445521714700305,6.146935555948778,,32.08889192151281,,,,,,,
2005-03-01,,18737.74,1.1272583779591117,2.3841106874970763,1261.5021961992475,2567.2340497272644,17545.60066666667,14311.792772777779,12879.600824500001,4665.999842166668,49.2700204545454,15.4659696799188,52.96344814849847,6.531328895394189,,32.45180488146952,,,,,,,
2005-03-31,,18976.9,2.5857119843793352,3.796691527975016,1245.6950038419452,2585.9279020312674,17604.26366666667,14349.726296666668,12913.287810333337,4690.975856333334,49.34881141774885,7.892901483948089,52.84089242273874,6.834633525123908,,32.82722990303612,,,,,,,
2005-04-01,,18875.47,0.7583640572582484,4.879346130287677,1215.2104950195726,2601.952616409017,17662.004500000003,14385.776492222223,12945.983536444446,4716.020963555556,49.4276023809523,0.319833287977378,52.71833669697901,7.137938154853627,,33.20265492460272,,,,,,,
2005-04-29,,18774.04,-1.0689838698628384,5.962000732600337,1184.7259861972002,2617.9773307867667,17719.745333333332,14421.82668777778,12978.679262555555,4741.066070777777,48.211413032581405,-2.300630276732629,41.48766060364498,7.23503012425571,,33.59120012092686,,,,,,,
2005-05-01,,18558.32,-1.6835253875074285,5.82141842052738,1144.8076265697964,2630.154409058732,17768.854666666666,14454.141925555556,13009.782826027778,4759.071840638888,46.9952236842105,-4.921093841442636,30.25698451031096,7.3321220936577935,,33.979745317251,,,,,,,
2005-05-31,,18342.6,-2.2980669051520186,5.680836108454423,1104.8892669423929,2642.331487330698,17817.964,14486.45716333333,13040.8863895,4777.077610499999,49.85798456937795,3.631052737158991,42.29688166489688,7.650091658262761,,34.40658938831882,,,,,,,
2005-06-01,,18552.059999999998,-0.007101556334465187,5.367152443908163,1082.9782223619995,2656.8693083516982,17864.352333333332,14521.436273333331,13072.673892805555,4791.678440527777,52.7207454545454,12.183199315760618,54.3367788194828,7.968061222867728,,34.83343345938665,,,,,,,
