date,gold_price,gold_price_mom,gold_price_yoy,gold_volatility_1m,gold_volatility_3m,gold_price_30d_avg,gold_price_90d_avg,gold_price_180d_avg,gold_trend
1988-10-31,6019.79654,-0.4945197760825692,1.0873337904336866,167.5773087269516,963.5510537825282,5998.012430666668,4784.37121,5690.581896166667,4485.569818166668
1988-11-30,6144.897470000001,2.0781587744492125,3.3494036965349805,149.46123074759893,960.5069645059672,6016.947454,4816.268289555556,5690.581896166667,4485.569818166668
1988-12-30,6637.0208,8.008649979964577,6.077812720906994,183.2383609846774,961.99692673965,6043.997776666667,4855.491215555556,5690.581896166667,4485.569818166668
1989-01-31,6901.524120000001,3.9852718255757313,10.01876451426824,233.76689700044085,964.6756948386992,6082.059520000001,4899.17508088889,5690.581896166667,4485.569818166668
1989-02-28,6936.367940000001,0.5048713790483772,13.802728565101871,276.3972259825188,971.6010113461316,6118.633618333334,4940.415141777778,5690.581896166667,4485.569818166668
1989-03-31,7062.869740000001,1.823746968071016,19.85308215275108,324.6445102493248,984.2110328197546,6153.941175,4980.351618222222,5690.581896166667,4485.569818166668
1989-04-28,6704.41243,-5.0752360328820245,11.537160829396932,337.2025851302407,997.4296568014051,6179.190930333334,5007.91629988889,5690.581896166667,4485.569818166668
1989-05-31,6467.518040000001,-3.533410160448613,7.553159166803613,339.94283662258994,1004.3484234638424,6193.843913666668,5034.288506666668,5690.581896166667,4485.569818166668
1989-06-30,6373.2821300000005,-1.4570645094018175,6.334829869050762,339.98113058954686,1008.6143863014504,6205.350009666667,5060.101890666667,5690.581896166667,4485.569818166668
1989-07-31,6119.03654,-3.989241097663454,2.038735773927458,340.1515750592121,1011.4023765834067,6200.531620666667,5080.353137111111,5690.581896166667,4485.569818166668
1989-08-31,6299.46611,2.9486597901571043,3.318517951646016,340.6312757946173,1018.8146702309406,6203.680286333333,5097.742985,5690.581896166667,4485.569818166668
1989-09-29,6831.886670000001,8.451836246167233,12.92909310415502,347.9053663729467,1034.777832922743,6239.897457000001,5119.428932777779,5690.581896166667,4485.569818166668
1989-10-31,6940.656190000001,1.5920861286769616,15.29718893123919,356.8343882358261,1047.494195483402,6280.244321,5150.062942,5690.581896166667,4485.569818166668
1989-11-30,6878.455400000001,-0.8961802500694116,11.937675666376911,366.5981052373419,1059.2623068425405,6311.875269333334,5178.612832444445,5690.581896166667,4485.569818166668
1989-12-29,6895.38403,0.2461109219374924,3.8927590825088334,375.70208373012986,1070.9410903506844,6342.680220666667,5206.728450777779,5690.581896166667,4485.569818166668
1990-01-31,6841.66895,-0.779000556985654,-0.8672746622234606,385.63843237543534,1078.692293949139,6363.593093333334,5236.599603555556,5690.581896166667,4485.569818166668
1990-02-28,7032.126450000001,2.783787134278115,1.380528121176905,401.9842301374732,1089.9606214191954,6393.134740333334,5267.455379222223,5690.581896166667,4485.569818166668
1990-03-30,6849.5851,-2.595820073741717,-3.0198014100710435,407.1181952211609,1096.9058678381891,6417.200888000001,5296.555694555556,5690.581896166667,4485.569818166668
1990-04-30,7003.578600000001,2.248216464965158,4.462228019585002,411.0631788135182,1105.245621820961,6452.151997333334,5327.655415444445,5690.581896166667,4485.569818166668
1990-05-31,7145.317150000001,2.0238018032666893,10.480049778106215,418.3829732532877,1112.7955382062828,6492.137559333334,5362.360480111111,5690.581896166667,4485.569818166668
1990-06-29,7318.01881,2.4169908259425554,14.823393358862646,441.9944274076814,1121.3632706756348,6527.513272666667,5399.783635000001,5690.581896166667,4485.569818166668
1990-07-31,7699.377740000001,5.21123189078001,25.82663446556246,487.9976623502223,1138.0493773473663,6575.057772666667,5440.183177777778,5690.581896166667,4485.569818166668
