date,iip_durable,iip_nondurable,iip_combined,iip_durable_yoy,iip_nondurable_yoy,iip_combined_yoy,iip_durable_mom,iip_nondurable_mom,iip_combined_mom,iip_durable_3m_avg,iip_durable_6m_avg,iip_nondurable_3m_avg,iip_nondurable_6m_avg,iip_combined_3m_avg,iip_combined_6m_avg
2019-07-01,-2.4,8.5,3.05,-117.02127659574468,60.377358490566046,-68.55670103092784,-76.47058823529412,14.864864864864868,-317.85714285714295,-4.133333333333331,-2.083333333333332,8.0,5.966666666666666,1.9333333333333331,1.9416666666666655
2019-08-01,-9.7,3.1,-3.3,-276.3636363636364,-52.3076923076923,-154.99999999999997,304.1666666666667,-63.52941176470588,-208.1967213114754,-7.433333333333331,-3.8499999999999983,6.333333333333333,5.65,-0.5499999999999998,0.8999999999999995
2019-09-01,-10.5,-1.1,-5.8,-294.44444444444446,-117.1875,-198.3050847457627,8.247422680412386,-135.48387096774195,75.75757575757575,-7.533333333333331,-5.0666666666666655,3.5,5.233333333333333,-2.0166666666666666,0.0833333333333327
2019-10-01,-18.9,-3.3,-11.1,-208.6206896551724,-138.3720930232558,-185.3846153846154,79.99999999999999,199.99999999999997,91.3793103448276,-13.033333333333331,-8.583333333333332,-0.4333333333333333,3.783333333333333,-6.733333333333333,-2.4000000000000004
2019-11-01,-1.4,1.1,-0.1499999999999999,-53.33333333333334,-466.6666666666667,-90.90909090909092,-92.5925925925926,-133.33333333333334,-98.64864864864865,-10.266666666666664,-8.849999999999998,-1.1,2.6166666666666667,-5.683333333333333,-3.116666666666667
2019-12-01,-5.6,-3.2,-4.4,-236.58536585365857,-149.23076923076923,-183.01886792452837,300.0,-390.9090909090909,1780.3093215346685,-8.633333333333331,-8.083333333333332,-1.8,0.85,-5.216666666666667,-3.616666666666667
2020-01-01,-3.7,-0.6,-2.15,-248.0,-115.78947368421052,-168.25396825396825,-33.928571428571416,-81.25,-51.13636363636365,-3.566666666666664,-8.299999999999999,-0.9,-0.6666666666666666,-2.233333333333334,-4.483333333333334
2020-02-01,-6.2,-0.3,-3.25,-788.8888888888889,-106.0,-210.1694915254237,67.56756756756756,-50.0,51.16279069767442,-5.166666666666664,-7.716666666666665,-1.366666666666667,-1.2333333333333332,-3.266666666666667,-4.4750000000000005
2020-03-01,-36.8,-20.14917522379788,-29.55,1049.9999999999998,-1692.8571428571431,1747.826640216374,493.5483870967741,3329.331763459107,809.2307692307692,-15.566666666666665,-12.1,-7.733333333333334,-4.766666666666667,-11.65,-8.433333333333334
2020-04-01,-47.67372007621364,-20.14917522379788,-29.550651950834006,-4450.0,-990.7407407407406,-1992.1052631578948,160.05434782608697,115.69506726457396,143.3164128595601,-36.43635470578143,-24.899999999999995,-14.468131871832224,-11.236242976734145,-21.6203987793835,-17.11021340047936
2020-05-01,-47.67372007621364,-9.7,-29.550651950834006,-8959.365076330792,-219.7530864197531,-1063.8554216867471,-26.54127481713689,-79.83367983367984,-44.36717663421419,-36.43635470578143,-29.035984104704426,-14.468131871832224,-11.236242976734145,-21.6203987793835,-17.11021340047936
2020-06-01,-34.8,6.9,-13.95,241.17647058823528,-6.756756756756754,896.4285714285717,-50.49786628733997,-171.13402061855672,-65.125,-36.43635470578143,-29.035984104704426,-14.468131871832224,-11.236242976734145,-21.6203987793835,-17.11021340047936
2020-07-01,-23.7,1.8,-10.95,887.5,-78.82352941176471,-459.0163934426229,-31.89655172413792,-73.91304347826086,-21.505376344086024,-36.43635470578143,-29.035984104704426,-0.3333333333333306,-11.236242976734145,-21.6203987793835,-17.11021340047936
2020-08-01,-10.2,-3.0,-6.6,5.154639175257736,-196.7741935483871,100.0,-56.9620253164557,-266.66666666666663,-39.72602739726028,-22.899999999999995,-29.035984104704426,1.9000000000000028,-11.236242976734145,-10.5,-17.11021340047936
2020-09-01,5.3,2.4,3.85,-150.47619047619048,-318.1818181818182,-166.3793103448276,-151.96078431372547,-179.99999999999997,-158.33333333333331,-9.533333333333331,-29.035984104704426,0.4000000000000026,-8.283333333333333,-4.566666666666666,-17.11021340047936
2020-10-01,18.1,7.3,12.7,-195.76719576719577,-321.21212121212125,-214.41441441441444,241.50943396226415,204.16666666666663,229.87012987012992,4.400000000000001,-19.266666666666666,2.233333333333336,0.9500000000000014,3.316666666666667,-9.158333333333337
2020-11-01,-3.2,-0.7,-1.95,128.5714285714286,-163.63636363636363,1200.000000000001,-117.67955801104972,-109.5890410958904,-115.3543307086614,6.733333333333334,-8.083333333333327,3.000000000000002,2.450000000000001,4.866666666666667,-2.8166666666666687
2020-12-01,6.5,1.9,4.2,-216.07142857142856,-159.375,-195.45454545454547,-303.125,-371.4285714285714,-315.38461538461536,7.133333333333334,-1.1999999999999946,2.833333333333336,1.6166666666666678,4.983333333333333,0.2083333333333312
2021-01-01,-0.1,-5.4,-2.75,-97.2972972972973,800.0000000000002,27.906976744186053,-101.53846153846152,-384.2105263157896,-165.47619047619045,1.0666666666666669,2.7333333333333383,-1.3999999999999977,0.4166666666666678,-0.1666666666666666,1.5749999999999975
2021-02-01,6.6,-3.8,1.4,-206.4516129032258,1166.6666666666663,-143.07692307692307,-2443.038864160599,-29.62962962962964,-150.9090909090909,4.333333333333333,5.5333333333333385,-2.433333333333331,0.2833333333333345,0.95,2.908333333333331
2021-03-01,53.52179699929056,26.588918813541472,35.69456220724426,-262.77173913043475,-230.9417040358745,-250.76142131979697,807.5757575757576,-868.421052631579,1780.3093215346685,22.133333333333336,14.633333333333338,6.666666666666669,4.750000000000001,14.4,9.691666666666665
2021-04-01,53.52179699929056,14.7,35.69456220724426,-162.5914315569488,-160.70686070686068,-161.96105702364397,0.0,0.0,0.0,27.250000000000004,15.811904761904767,4.500000000000002,4.083333333333334,15.875,9.947619047619044
2021-05-01,53.52179699929056,0.2,35.69456220724426,-214.3669985775249,-102.06185567010309,-200.75000000000003,34.22370617696162,-99.31506849315068,-9.539842873176196,32.36666666666667,16.990476190476194,2.3333333333333357,3.416666666666668,17.35,10.203571428571426
2021-06-01,28.0,-3.9,12.05,-180.45977011494253,-156.52173913043475,-186.3799283154122,-65.17412935323384,-2050.0,-70.09925558312655,37.483333333333334,18.169047619047625,0.16666666666666874,2.750000000000001,18.825000000000003,10.459523809523805
2021-07-01,19.4,-2.3,8.549999999999999,-181.85654008438817,-227.77777777777777,-178.08219178082192,-30.714285714285715,-41.02564102564102,-29.045643153526974,41.27438889381562,19.347619047619055,-1.9999999999999976,2.0833333333333344,20.3,10.715476190476187
2021-08-01,11.1,5.9,8.5,-208.82352941176472,-296.6666666666667,-228.7878787878788,-42.783505154639165,-356.5217391304348,-0.5847953216374102,19.5,20.526190476190482,-0.0999999999999975,1.4166666666666679,9.7,10.971428571428566
